Nom-plat,Complexitat,Dieta,Familia,Ingredient-principal,Intensitat-sabor,Origen-plat,Preu-plat,Temperatura,Temporada,Tipus-plat,Tipus-public,Estil-plat
Saltat d’espàrrecs verds,Mitjana,Celíac,Planxa,Espàrrec,Mitjana,Mediterrani,8.0,Calent,Primavera,Entrant,Adultsnens,Modern
Bogavante a la planxa,Alta,Celíac,Planxa,Bogavante,Alta,Mediterrani,20.0,Calent,Estiu,Entrant,Adultsnens,Sibarita
Amanida de verdures amb marisc,Mitjana,Celíac,Amanida,Marisc,Mitjana,Mediterrani,10.0,Fred,Estiu,Entrant,Adultsnens,Modern
Rotllets de carbassó farcits de tonyina i verdures,Mitjana,Celíac,Forn,Carbassó,Mitjana,Mediterrani,9.0,Calent,Primavera,Entrant,Adultsnens,Modern
Lluç amb vinagreta de tomàquet,Mitjana,Celíac,Forn,Lluç,Mitjana,Mediterrani,12.0,Calent,Estiu,Segon,Adultsnens,Classic
Risotto d’espàrrecs,Alta,Celíac,Estofat,Arròs,Mitjana,Itàlia,11.0,Calent,Primavera,Segon,Adultsnens,Classic
Broqueta de porc amb bolets,Mitjana,Celíac,Brasa,Porc,Mitjana,Mediterrani,11.0,Calent,Tardor,Segon,Adultsnens,Regional
Llom de rap al forn amb espàrrecs,Alta,Celíac,Forn,Rap,Alta,Mediterrani,14.0,Calent,Primavera,Segon,Adultsnens,Classic
Macedònia de fruites amb escuma de mango,Baixa,Celíac,Amanida de fruita,Fruita,Baixa,Mediterrani,6.0,Fred,Estiu,Postre,Adultsnens,Modern
"Hummus, babaganoush, muhammara i tzatziki amb pa pita fresc",Mitjana,Halal,Crema freda,Cigrons,Mitjana,OrientMitjà,8.0,Fred,Estiu,Entrants,Adultsnens,Regional
Broquetes de pollastre especiat halal,Mitjana,Halal,Brasa,Pollastre,Alta,Mediterrani,10.0,Calent,Estiu,Entrants,Adultsnens,Regional
Amanida fattoush amb verdures fresques i pa cruixent,Baixa,Halal,Amanida,Enciam,Baixa,Líban,7.0,Fred,Estiu,Entrants,Adultsnens,Modern
Falàfels amb salsa tahini,Mitjana,Halal,Fregit,Cigrons,Mitjana,OrientMitjà,9.0,Calent,Anual,Entrants,Adultsnens,Regional
Sambousek de formatge i espinacs halal,Mitjana,Halal,Forn,Espinac,Mitjana,Líban,9.0,Calent,Primavera,Entrants,Adultsnens,Regional
Cuscús reial amb xai i pollastre halal,Alta,Halal,Estofat,Xai,Alta,Marroc,14.0,Calent,Hivern,Segon,Adultsnens,Regional
Tajine de pollastre amb llimona confitada i olives,Alta,Halal,Estofat,Pollastre,Alta,Marroc,13.0,Calent,Tardor,Segon,Adultsnens,Regional
Biryani de xai tendre amb espècies autèntiques,Alta,Halal,Estofat,Xai,Alta,Àsia,14.0,Calent,Hivern,Segon,Adultsnens,Sibarita
Filet de salmó al forn amb herbes,Mitjana,Halal,Forn,Salmó,Mitjana,Mediterrani,12.0,Calent,Primavera,Segon,Adultsnens,Classic
Albergínies farcides (opció vegetariana halal),Mitjana,Halal,Forn,Albergínia,Mitjana,Mediterrani,10.0,Calent,Tardor,Segon,Adultsnens,Modern
Arròs pilaf amb fruits secs,Mitjana,Halal,Estofat,Arròs,Mitjana,OrientMitjà,8.0,Calent,Hivern,Segon,Adultsnens,Classic
Patates rostides al romaní,Baixa,Halal,Forn,Patata,Baixa,Mediterrani,6.0,Calent,Anual,Segon,Adultsnens,Classic
Tabulé libanès,Baixa,Halal,Amanida,Bulgur,Baixa,Líban,7.0,Fred,Estiu,Segon,Adultsnens,Regional
Verdures mediterrànies rostides,Mitjana,Halal,Forn,Verdures,Mitjana,Mediterrani,7.0,Calent,Anual,Segon,Adultsnens,Modern
Selecció de fruites fresques,Baixa,Halal,Amanida de fruita,Fruita,Baixa,Mediterrani,6.0,Fred,Estiu,Postre,Adultsnens,Modern
Sopa harira,Mitjana,Halal,Crema calenta,Cigrons,Mitjana,Marroc,8.0,Calent,Hivern,Entrants,Adultsnens,Regional
Salmorejo,Baixa,Halal,Crema freda,Tomàquet,Baixa,Espanya,6.0,Fred,Estiu,Entrants,Adultsnens,Classic
Sopa nazarí,Mitjana,Halal,Crema calenta,Verdures,Mitjana,Espanya,8.0,Calent,Hivern,Entrants,Adultsnens,Regional
Croquetes d’espinacs i pinyons,Mitjana,Halal,Fregit,Espinacs,Mitjana,Mediterrani,9.0,Calent,Anual,Entrants,Adultsnens,Modern
Albergínies al forn amb formatge,Mitjana,Halal,Forn,Albergínia,Mitjana,Mediterrani,9.0,Calent,Tardor,Entrants,Adultsnens,Modern
Carbassa al forn,Baixa,Halal,Forn,Carbassa,Baixa,Mediterrani,7.0,Calent,Tardor,Entrants,Adultsnens,Classic
Amanida d’espinacs amb formatge de cabra,Baixa,Halal,Amanida,Espinacs,Mitjana,Mediterrani,8.0,Fred,Primavera,Entrants,Adultsnens,Modern
Amanida de cogombre i iogurt,Baixa,Halal,Amanida,Cogombre,Baixa,Líban,7.0,Fred,Estiu,Entrants,Adultsnens,Regional
Remenat de bolets,Mitjana,Halal,Planxa,Bolets,Mitjana,Mediterrani,9.0,Calent,Tardor,Entrants,Adultsnens,Classic
Arròs camperol amb conill,Mitjana,Halal,Estofat,Conill,Alta,Espanya,10.0,Calent,Estiu,Segon,Adultsnens,Regional
Cuscús,Mitjana,Halal,Estofat,Sèmola,Mitjana,Marroc,9.0,Calent,Anual,Segon,Adultsnens,Regional
Hummus,Baixa,Halal,Crema freda,Cigrons,Mitjana,Líban,8.0,Fred,Estiu,Segon,Adultsnens,Regional
Arròs amb xai,Mitjana,Halal,Estofat,Xai,Alta,OrientMitjà,11.0,Calent,Hivern,Segon,Adultsnens,Regional
Tallarines a la carbonara,Mitjana,Halal,Pasta,Pasta,Mitjana,Itàlia,10.0,Calent,Anual,Segon,Adultsnens,Classic
Lasanya bolonyesa amb carbassó,Alta,Halal,Forn,Carn picada,Alta,Itàlia,11.0,Calent,Anual,Segon,Adultsnens,Classic
Aletes de pollastre agredolces,Mitjana,Halal,Fregit,Pollastre,Alta,Àsia,10.0,Calent,Anual,Segon,Adultsnens,Modern
Pollastre amb cacauets,Alta,Halal,Estofat,Pollastre,Alta,Àsia,11.0,Calent,Anual,Segon,Adultsnens,Modern
Paté de fetgets de pollastre,Mitjana,Halal,Crema freda,Fetge,Mitjana,França,8.0,Fred,Anual,Segon,Adultsnens,Classic
Llom de vedella d’orza,Alta,Halal,Estofat,Vedella,Alta,Espanya,12.0,Calent,Hivern,Segon,Adultsnens,Regional
Pinxos moruns,Mitjana,Halal,Brasa,Xai,Mitjana,Marroc,10.0,Calent,Estiu,Segon,Adultsnens,Regional
Rostit de xai amb mel,Alta,Halal,Forn,Xai,Alta,Marroc,13.0,Calent,Hivern,Segon,Adultsnens,Sibarita
Pastela de pollastre i ametlles,Alta,Halal,Forn,Pollastre,Alta,Marroc,12.0,Calent,Primavera,Segon,Adultsnens,Sibarita
Daurada a la sal,Mitjana,Halal,Forn,Daurada,Mitjana,Mediterrani,11.0,Calent,Estiu,Segon,Adultsnens,Classic
Paté de sardines,Baixa,Halal,Crema freda,Sardina,Baixa,Mediterrani,7.0,Fred,Anual,Segon,Adultsnens,Modern
Pebrots farcits de lluç,Mitjana,Halal,Forn,Lluç,Mitjana,Mediterrani,10.0,Calent,Primavera,Segon,Adultsnens,Classic
Bruschetta de tomàquet i alfàbrega,Baixa,Vegà,Torrada,Tomàquet,Baixa,Itàlia,6.0,Fred,Estiu,Entrants,Adultsnens,Classic
Lasanya d’espinacs i albergínia,Alta,Vegà,Forn,Albergínia,Mitjana,Itàlia,11.0,Calent,Anual,Segon,Adultsnens,Modern
Paella de verdures,Mitjana,Vegà,Forn,Arròs,Mitjana,Espanya,10.0,Calent,Estiu,Segon,Adultsnens,Regional
Risotto de bolets i tòfona,Alta,Vegà,Estofat,Arròs,Alta,Itàlia,12.0,Calent,Hivern,Segon,Adultsnens,Sibarita
Broquetes de verdures a la graella,Baixa,Vegà,Brasa,Verdures,Baixa,Mediterrani,8.0,Calent,Estiu,Segon,Adultsnens,Classic
Ensalada tabulé,Mitjana,Vegà,Amanida,Verdura,Mitjana,Mediterrani,6.0,Fred,Anual,Entrant,Adultsnens,Modern
Croquetas vegetales,Mitjana,Vegà,Fregit,Verdura,Mitjana,Mediterrani,8.0,Calent,Anual,Primer,Adultsnens,Modern
Tosta de pimientos rojos y cebolla caramelizada,Mitjana,Vegà,Tapa,Llegum,Mitjana,Mediterrani,7.0,Fred,Anual,Entrant,Adultsnens,Modern
Ensalada de tomate y aguacate,Mitjana,Vegà,Amanida,Verdura,Mitjana,Mediterrani,6.0,Fred,Anual,Entrant,Adultsnens,Modern
Verdura en tempura,Mitjana,Vegà,Fregit,Verdura,Mitjana,Mediterrani,8.0,Calent,Anual,Primer,Adultsnens,Modern
Hummus con pan de pita,Mitjana,Vegà,Tapa,Llegum,Mitjana,Mediterrani,7.0,Fred,Anual,Entrant,Adultsnens,Modern
Caldo de verdura,Mitjana,Vegà,Crema calenta,Verdura,Mitjana,Mediterrani,6.0,Calent,Anual,Entrant,Adultsnens,Modern
Risotto de verduritas y setas,Mitjana,Vegà,Pasta,Arròs,Mitjana,Mediterrani,14.0,Calent,Anual,Segon,Adultsnens,Modern
Vichissoyse con cebollino,Mitjana,Vegà,Crema freda,Verdura,Mitjana,Mediterrani,6.0,Fred,Anual,Entrant,Adultsnens,Modern
Lasaña de verduras y setas con salsa de zanahoria,Mitjana,Vegà,Pasta,Pasta,Mitjana,Mediterrani,14.0,Calent,Anual,Segon,Adultsnens,Modern
Pastel de hummus con verduras y especias con salsa de tomate,Mitjana,Vegà,Tapa,Llegum,Mitjana,Mediterrani,7.0,Fred,Anual,Entrant,Adultsnens,Modern
Helado de café con crema de vainilla y virutas de chocolate,Mitjana,Vegà,Crema calenta,Verdura,Mitjana,Mediterrani,6.0,Calent,Anual,Entrant,Adultsnens,Modern
Brochetas de verduras,Mitjana,Vegà,Fregit,Verdura,Mitjana,Mediterrani,8.0,Calent,Anual,Primer,Adultsnens,Modern
Gazpacho de cereza con menta,Mitjana,Vegà,Crema freda,Verdura,Mitjana,Mediterrani,6.0,Fred,Anual,Entrant,Adultsnens,Modern
Arroz con verduritas salteadas,Mitjana,Vegà,Pasta,Arròs,Mitjana,Mediterrani,14.0,Calent,Anual,Segon,Adultsnens,Modern
Maki y sushi de verduras,Mitjana,Vegà,Marinat,Verdura,Mitjana,Mediterrani,10.0,Fred,Anual,Primer,Adultsnens,Modern
Brochetas de melón y gelatina de menta,Mitjana,Vegà,Fregit,Verdura,Mitjana,Mediterrani,8.0,Calent,Anual,Primer,Adultsnens,Modern
Tempura de trigueros con salsa de soja,Mitjana,Vegà,Fregit,Verdura,Mitjana,Mediterrani,8.0,Calent,Anual,Primer,Adultsnens,Modern
Guacamole con triángulos de trigo,Mitjana,Vegà,Tapa,Llegum,Mitjana,Mediterrani,7.0,Fred,Anual,Entrant,Adultsnens,Modern
Crema de guisantes al aroma de menta,Mitjana,Vegà,Crema calenta,Verdura,Mitjana,Mediterrani,6.0,Calent,Anual,Entrant,Adultsnens,Modern
"Ensalada de quinoa, aguacate y frutos secos",Mitjana,Vegà,Amanida,Verdura,Mitjana,Mediterrani,6.0,Fred,Anual,Entrant,Adultsnens,Modern
Pastel de achicoria con espinacas,Mitjana,Vegà,Forn,Verdura,Mitjana,Mediterrani,12.0,Calent,Anual,Segon,Adultsnens,Modern
Llenties amb verdures sense gluten,Mitjana,Celíac,Estofat,Verdura,Mitjana,Mediterrani,6.0,Calent,Anual,Primer,Adultsnens,Clàssic
Truita de patates sense gluten,Mitjana,Celíac,Fregit,Ou,Mitjana,Mediterrani,10.0,Calent,Anual,Segon,Adultsnens,Clàssic
Puré de verdures o de llegums sense gluten,Mitjana,Celíac,Forn,Verdura,Mitjana,Mediterrani,6.0,Calent,Anual,Primer,Adultsnens,Clàssic
Verdures saltades amb all o ceba sense gluten,Mitjana,Celíac,Forn,Verdura,Mitjana,Mediterrani,6.0,Calent,Anual,Primer,Adultsnens,Clàssic
Arròs blanc o en paella sense gluten,Mitjana,Celíac,Forn,Cereal,Mitjana,Mediterrani,6.0,Calent,Anual,Primer,Adultsnens,Clàssic
Pasta Itàlia sense gluten,Mitjana,Celíac,Pasta,Cereal,Mitjana,Mediterrani,6.0,Calent,Anual,Primer,Adultsnens,Clàssic
Carn de vedella a la planxa sense gluten,Mitjana,Celíac,Forn,Carn,Mitjana,Mediterrani,14.0,Calent,Anual,Segon,Adultsnens,Clàssic
Pollastre al forn sense gluten,Mitjana,Celíac,Forn,Carn,Mitjana,Mediterrani,14.0,Calent,Anual,Segon,Adultsnens,Clàssic
Xai guisat amb verdures sense gluten,Mitjana,Celíac,Forn,Verdura,Mitjana,Mediterrani,6.0,Calent,Anual,Primer,Adultsnens,Clàssic
Peix a la planxa sense gluten,Mitjana,Celíac,Planxa,Peix,Mitjana,Mediterrani,14.0,Calent,Anual,Segon,Adultsnens,Clàssic
Ous ferrats sense gluten,Mitjana,Celíac,Fregit,Ou,Mitjana,Mediterrani,10.0,Calent,Anual,Segon,Adultsnens,Clàssic
Truita francesa sense gluten,Mitjana,Celíac,Fregit,Ou,Mitjana,Mediterrani,10.0,Calent,Anual,Segon,Adultsnens,Clàssic
Crema suau de pastanaga,baixa,"Infantil, Vegà",Verdura,Pastanaga,Suau,Mediterrani,7.25,Calent,Hivern,Entrant,Nens,Clàssic
Sopa de fideus amb verdures,baixa,Infantil,Pasta,Fideus,Suau,Mediterrani,7.75,Calent,Hivern,Entrant,Nens,Tradicional
Mini torradetes amb formatge i pernil,baixa,Infantil,Cereals,Pa,Suau,Mediterrani,8.0,Tebi,Anual,Entrant,Nens,Modern
Bastonets de pastanaga i api amb hummus suau,baixa,"Infantil, Vegà",Verdura,Pastanaga,Suau,Internacional,6.5,Fred,Estiu,Entrant,Nens,Modern
Macarrons amb tomaquet i formatge,baixa,Infantil,Pasta,Pasta,Suau,Itàlia,9.5,Calent,Anual,Principal,Nens,Clàssic
Arros tres delicies sense soja,baixa,"Infantil, Sense-gluten",Arròs,Arròs,Suau,Àsia,10.25,Calent,Anual,Principal,Nens,Modern
Mini hamburguesa de vedella amb formatge,baixa,Infantil,Carn,Vedella,Mitjana,Internacional,10.75,Calent,Anual,Principal,Nens,Modern
Pollastre arrebossat amb patates forneres,baixa,Infantil,Carn,Pollastre,Mitjana,Mediterrani,11.25,Calent,Anual,Principal,Nens,Modern
Pizza margarita petita,baixa,Infantil,Pasta,Farina,Suau,Itàlia,9.25,Calent,Anual,Principal,Nens,Modern
Iogurt natural amb mel i fruites,baixa,Infantil,Dolços,Llet,Suau,Mediterrani,6.75,Fred,Estiu,Postres,Nens,Clàssic
Brotxeta de fruita fresca,baixa,"Infantil, Vegà, Sense-gluten",Dolços,Fruita,Suau,Mediterrani,6.25,Fred,Estiu,Postres,Nens,Clàssic
Mousse de xocolata suau,baixa,"Infantil, Sense-gluten",Dolços,Xocolata,Suau,Francesa,7.5,Fred,Anual,Postres,Nens,Modern
Flam de vainilla,baixa,"Infantil, Sense-gluten",Dolços,Llet,Suau,Espanyaa,6.0,Fred,Anual,Postres,Nens,Tradicional
Gelat de maduixa natural,baixa,"Infantil, Vegà, Sense-gluten",Dolços,Fruita,Fred,Mediterrani,5.75,Fred,Estiu,Postres,Nens,Modern
Truita de patates amb ceba,baixa,"Infantil, Sense-gluten",Ou,Ou,Suau,Mediterrani,9.0,Calent,Anual,Principal,Nens,Clàssic
Croquetes de pollastre suau,baixa,Infantil,Carn,Pollastre,Suau,Mediterrani,8.75,Calent,Anual,Entrant,Nens,Clàssic
Bastonets de peix amb limoneta,baixa,Infantil,Peix,Peix,Suau,Mediterrani,9.25,Calent,Anual,Principal,Nens,Clàssic
Puré de patata i pastanaga,baixa,"Infantil, Vegà",Verdura,Patata,Suau,Mediterrani,7.0,Calent,Hivern,Principal,Nens,Clàssic
Sopa de pollo con fideus fins,baixa,Infantil,Carn,Pollastre,Suau,Mediterrani,7.5,Calent,Hivern,Entrant,Nens,Tradicional
Canelons de vedella sense gluten,mitjana,"Infantil, Sense-gluten",Carn,Vedella,Mitjana,Catalana,10.5,Calent,Anual,Principal,Nens,Tradicional
Mini pizza de pernil i formatge,baixa,Infantil,Pasta,Farina,Suau,Itàlia,9.75,Calent,Anual,Principal,Nens,Modern
Crema de carbassa suau,baixa,"Infantil, Vegà",Verdura,Carbassa,Suau,Mediterrani,7.25,Calent,Tardor,Entrant,Nens,Clàssic
Espaguetis amb tomaquet dolcet,baixa,Infantil,Pasta,Espaguetis,Suau,Itàlia,8.75,Calent,Anual,Principal,Nens,Clàssic
Nuggets de pollastre casolans,baixa,Infantil,Carn,Pollastre,Mitjana,Internacional,10.25,Calent,Anual,Principal,Nens,Modern
Risotto suau de verdures,baixa,"Infantil, Vegetarià",Arròs,Arròs,Suau,Mediterrani,9.5,Calent,Anual,Principal,Nens,Modern
Sandvitx de formatge fos,baixa,Infantil,Cereals,Pa,Suau,Internacional,6.75,Tebi,Anual,Entrant,Nens,Modern
Pasta farfalles amb pesto suau,baixa,"Infantil, Sense-fruits-secs",Pasta,Pasta,Suau,Itàlia,9.0,Calent,Primavera,Principal,Nens,Modern
Ous remenats amb pernil dolç,baixa,Infantil,Ou,Ou,Suau,Mediterrani,8.5,Calent,Anual,Principal,Nens,Clàssic
Croquetes de verdures,baixa,"Infantil, Vegà",Verdura,Verdures,Suau,Mediterrani,8.0,Calent,Anual,Entrant,Nens,Modern
Puré de pèsols i menta,baixa,"Infantil, Vegà",Verdura,Pèsols,Suau,Mediterrani,6.75,Calent,Primavera,Entrant,Nens,Modern
Creps de xocolata amb platan,baixa,Infantil,Dolços,Xocolata,Suau,Francesa,6.5,Fred,Anual,Postres,Nens,Modern
Pudding de pa i poma,baixa,Infantil,Dolços,Poma,Suau,Estatsunits,6.75,Fred,Tardor,Postres,Nens,Tradicional
Copa de iogurt i maduixes,baixa,Infantil,Dolços,Llet,Suau,Mediterrani,6.25,Fred,Estiu,Postres,Nens,Clàssic
Galetes sense gluten amb xocolata,baixa,"Infantil, Sense-gluten",Dolços,Xocolata,Suau,Internacional,5.75,Fred,Anual,Postres,Nens,Modern
Mini brotxeta de formatge i tomaquet,baixa,Infantil,Làctics,Formatge,Suau,Mediterrani,6.0,Fred,Anual,Entrant,Nens,Modern
Amanida de pasta amb tomàquet i tonyina,baixa,Infantil,Tradicional,Tomàquet,mitjana,Espanya,5.27,freda,anual,Entrant,Nens,Classic
Bastonets de pastanaga amb hummus suau,baixa,Infantil,Tradicional,Hummus,suau,Mediterrani,7.89,freda,anual,Entrant,Nens,Classic
Mini brotxeta de formatge i tomàquet,baixa,Infantil,Mediterrania,Pollastre,mitjana,Mediterrani,7.38,freda,anual,Entrant,Nens,Classic
Croquetes de pollastre suau,baixa,Infantil,Tradicional,Tomàquet,suau,Itàlia,6.35,freda,anual,Entrant,Nens,Modern
Palets de formatge amb salsa suau,baixa,Infantil,Casolana,Ou,baixa,Mediterrani,8.94,freda,anual,Entrant,Nens,Modern
Mini entrepà de pernil dolç,baixa,Infantil,Casolana,Ou,baixa,França,6.9,freda,anual,Entrant,Nens,Modern
Amanida de pollastre i blat de moro,baixa,Infantil,Casolana,Hummus,baixa,Itàlia,7.91,freda,anual,Entrant,Nens,Classic
Canelons freds de tonyina,baixa,Infantil,Tradicional,Formatge,baixa,Espanya,5.51,freda,anual,Entrant,Nens,Modern
Mini truita de patates,baixa,Infantil,Casolana,Hummus,mitjana,França,05.01,freda,anual,Entrant,Nens,Classic
Rolls de formatge i pernil dolç,baixa,Infantil,Mediterrania,Pasta,mitjana,Mediterrani,8.17,freda,anual,Entrant,Nens,Classic
Mini pizzes de formatge,baixa,Infantil,Tradicional,Formatge,suau,Mediterrani,7.85,freda,anual,Entrant,Nens,Modern
Crema freda de pastanaga,baixa,Infantil,Casolana,Ou,mitjana,Espanya,6.2,freda,anual,Entrant,Nens,Modern
Amanida de fruites dolces,baixa,Infantil,Casolana,Tonyina,suau,Itàlia,6.51,freda,anual,Entrant,Nens,Classic
Mini croquetes de tonyina,baixa,Infantil,Mediterrania,Pasta,mitjana,Espanya,7.62,freda,anual,Entrant,Nens,Modern
Cucs de pasta amb salsa suau de tomàquet,baixa,Infantil,Tradicional,Tomàquet,suau,França,8.96,freda,anual,Entrant,Nens,Modern
Macarrons amb formatge,baixa,Infantil,Tradicional,Carn picada,suau,Mediterrani,8.28,calenta,anual,Principal,Nens,Classic
Arròs a la cubana,baixa,Infantil,Tradicional,Carn picada,suau,França,6.78,calenta,anual,Principal,Nens,Modern
Canelons de pollastre,baixa,Infantil,Mediterrania,Verdures,baixa,Mediterrani,06.12,calenta,anual,Principal,Nens,Modern
Espaguetis amb salsa suau de tomàquet,baixa,Infantil,Tradicional,Formatge,baixa,Espanya,8.7,calenta,anual,Principal,Nens,Classic
Sopa de verdures,baixa,Infantil,Mediterrania,Peix blanc,baixa,Mediterrani,06.05,calenta,anual,Principal,Nens,Classic
Crema de carabassa,baixa,Infantil,Casolana,Formatge,suau,Itàlia,6.7,calenta,anual,Principal,Nens,Classic
Lasanya de pollastre,baixa,Infantil,Casolana,Carn picada,baixa,Mediterrani,9.39,calenta,anual,Principal,Nens,Modern
Arròs amb verdures,baixa,Infantil,Tradicional,Carn picada,mitjana,Mediterrani,7.71,calenta,anual,Principal,Nens,Classic
Fideuà infantil,baixa,Infantil,Casolana,Verdures,suau,Mediterrani,9.23,calenta,anual,Principal,Nens,Modern
Rissotto suau de formatge,baixa,Infantil,Casolana,Macarrons,mitjana,Mediterrani,7.27,calenta,anual,Principal,Nens,Classic
Sopa de galets amb pilota,baixa,Infantil,Casolana,Formatge,baixa,Itàlia,7.76,calenta,anual,Principal,Nens,Modern
Macarrons gratinats amb beixamel,baixa,Infantil,Mediterrania,Pollastre,baixa,Mediterrani,6.66,calenta,anual,Principal,Nens,Classic
Arròs tres delícies suau,baixa,Infantil,Casolana,Pollastre,baixa,Espanya,7.93,calenta,anual,Principal,Nens,Classic
Crema de pèsols,baixa,Infantil,Tradicional,Peix blanc,mitjana,Itàlia,6.61,calenta,anual,Principal,Nens,Classic
Fideus amb pollastre i verdura,baixa,Infantil,Mediterrania,Verdures,suau,Espanya,7.75,calenta,anual,Principal,Nens,Modern
Mandonguilles amb tomàquet,baixa,Infantil,Casolana,Pollastre,suau,Mediterrani,12.06,calenta,anual,Segon,Nens,Modern
Pollastre arrebossat amb patates,baixa,Infantil,Casolana,Peix blanc,suau,Itàlia,10.08,calenta,anual,Segon,Nens,Classic
Peix arrebossat amb arròs blanc,baixa,Infantil,Casolana,Peix blanc,mitjana,França,9.7,calenta,anual,Segon,Nens,Classic
Hamburguesa casolana amb formatge,baixa,Infantil,Casolana,Vedella,suau,Espanya,12.26,calenta,anual,Segon,Nens,Modern
Truita de patates,baixa,Infantil,Tradicional,Pollastre,mitjana,Itàlia,11.23,calenta,anual,Segon,Nens,Modern
Filet de pollastre a la planxa,baixa,Infantil,Casolana,Vedella,baixa,França,9.89,calenta,anual,Segon,Nens,Modern
Llibrets de pernil i formatge,baixa,Infantil,Mediterrania,Ou,suau,Mediterrani,8.53,calenta,anual,Segon,Nens,Classic
Nuggets de pollastre,baixa,Infantil,Casolana,Pollastre,mitjana,Mediterrani,11.23,calenta,anual,Segon,Nens,Modern
Mini hamburgueses mixtes,baixa,Infantil,Casolana,Ou,mitjana,França,11.76,calenta,anual,Segon,Nens,Classic
Varietat de peix suau amb patates,baixa,Infantil,Tradicional,Vedella,mitjana,Mediterrani,8.7,calenta,anual,Segon,Nens,Modern
Iogurt amb mel,baixa,Infantil,Mediterrania,Iogurt,mitjana,Itàlia,4.87,freda,anual,Postres,Nens,Classic
Gelat de vainilla,baixa,Infantil,Tradicional,Gelat,baixa,Mediterrani,3.45,freda,anual,Postres,Nens,Classic
Macedònia de fruites,baixa,Infantil,Tradicional,Fruita,suau,Itàlia,3.31,freda,anual,Postres,Nens,Classic
Galetes amb xocolata,baixa,Infantil,Mediterrania,Pastís,baixa,Mediterrani,6.17,freda,anual,Postres,Nens,Modern
Mousse de xocolata suau,baixa,Infantil,Tradicional,Gelat,mitjana,Espanya,5.8,freda,anual,Postres,Nens,Classic
Poma al forn amb canyella,baixa,Infantil,Tradicional,Iogurt,baixa,França,6.3,freda,anual,Postres,Nens,Modern
Pastís de formatge,baixa,Infantil,Casolana,Iogurt,baixa,Mediterrani,4.42,freda,anual,Postres,Nens,Classic
Flam de vainilla,baixa,Infantil,Mediterrania,Gelat,mitjana,Itàlia,3.5,freda,anual,Postres,Nens,Modern
Iogurt amb melmelada,baixa,Infantil,Casolana,Gelat,mitjana,Itàlia,5.87,freda,anual,Postres,Nens,Modern
Gelatina de fruita,baixa,Infantil,Mediterrania,Pastís,mitjana,França,3.41,freda,anual,Postres,Nens,Modern
Macarrons amb Tomàquet Suau,Baixa,"Infantil, Vegetarià",Pasta,Pasta,Baixa,Mediterrani,8.00,Calent,Anual,Principal,Nens,Clàssic
Nuggets de Pollastre Halal amb Patates,Baixa,"Infantil, Halal",Carn,Pollastre,Baixa,Internacional,9.50,Calent,Anual,Principal,Nens,Modern
Hamburguesa Vegana amb Pa Sense-gluten,Mitjana,"Infantil, Vegà, Sense-gluten",Verdura,Llegums,Mitjana,Internacional,10.00,Calent,Anual,Principal,Nens,Modern
Mini Pizza de Formatge Sense-lactosa,Mitjana,"Infantil, Sense-lactosa",Cereal,Formatge,Mitjana,Italià,8.75,Calent,Estiu,Principal,Nens,Clàssic
Croquetes de Pollastre Sense-gluten,Mitjana,"Infantil, Sense-gluten",Carn,Pollastre,Mitjana,Mediterrani,9.25,Calent,Anual,Entrant,Nens,Clàssic
