Nom-plat,Complexitat,Dieta,Familia,Ingredient-principal,Intensitat-sabor,Origen-plat,Preu-plat,Temperatura,Temporada,Tipus-plat,Tipus-public,Estil-plat
Flam de Vainilla Sense-lactosa,Baixa,"Infantil, Sense-lactosa",Postres,Llet,Baixa,Internacional,5.50,Fred,Anual,Postres,Nens,Clàssic
Mini hamburguesa de pollastre amb formatge,Baixa,Infantil,Carn,Pollastre,Baixa,Internacional,9.5,Calent,Anual,Principal,Nens,
Bastons de lluç arrebossat amb patates al forn,Baixa,Infantil,Peix,Lluç,Baixa,Mediterrani,11.25,Calent,Anual,Principal,Nens,
Arròs tres delícies suau (sense soja),Baixa,"Infantil, Sense-gluten",Arròs,Arròs,Baixa,Àsia,10.25,Calent,Anual,Principal,Nens,
Crema de carbassa dolceta,Baixa,"Infantil, Vegà",Verdura,Carbassa,Baixa,Mediterrani,7.5,Calent,Tardor,Entrant,Nens,Sibarita
Amanida de pollastre i blat de moro,Baixa,Infantil,Carn,Pollastre,Baixa,Internacional,8.25,Fred,Primavera,Entrant,Nens,Modern
Iogurt natural amb mel i gerds,Baixa,Infantil,Postres,Iogurt,Baixa,Mediterrani,5.25,Fred,Anual,Postres,Nens,Modern
Brownie de xocolata amb nous (sense gelatina),Baixa,Infantil,Postres,Xocolata,Mitjana,Americà,06.05,Tebi,Anual,Postres,Nens,Sibarita
Hamburguesa casolana amb formatge suau,Baixa,Omnívor,Carn,Porc,Baixa,Mediterrani,9.5,Calent,Anual,Segon,Nens,Clàssic
Nuggets de pollastre amb patates al forn,Baixa,Omnívor,Carn,Pollastre,Mitjana,Americà,8.5,Calent,Anual,Segon,Nens,Modern
Macarrons amb salsa de tomàquet i formatge,Baixa,Vegetariana,Pasta,Tomàquet,Mitjana,Italià,7.5,Calent,Anual,Segon,Nens,Clàssic
Filet de lluç arrebossat amb arròs,Baixa,Omnívor,Peix,Lluç,Mitjana,Mediterrani,8.75,Calent,Primavera,Segon,Nens,Modern
Truita de patates amb pa torrat,Baixa,Vegetariana,Ous,Ou,Mitjana,Mediterrani,6.5,Calent,Anual,Segon,Nens,Regional
Mini hamburguesa de wagyu amb ceba caramel·litzada,Mitjana,Carn,Forn,Vedella wagyu,Alta,Japó,7.52,Calent,Anual,Entrant,Nens,
Gelat de vainilla,Baixa,Vegetarià,Llegum,Fruita,Mitjana,Nordic,6.19,Fred,Primavera,Postres,AdultsNens,Modern
Iogurt amb mel,Mitjana,Vegetarià,Peix,Fruita,Alta,Àsia,7.85,Fred,Estiu,Postres,AdultsNens,Clàssic
Fruita tallada amb mel,Mitjana,Vegetarià,Llegum,Fruita,Alta,Nordic,5.67,Fred,Tardor,Postres,AdultsNens,Clàssic
Crema catalana suau,Baixa,Vegetarià,Verdures,Fruita,Alta,França,4.36,Fred,Tardor,Postres,AdultsNens,Regional
ca,Mitjana,Sense-fruits-secs,Llegum,Verdures,Suau,Mediterrani,9.26,Fred,Primavera,Entrant,AdultsNens,Regional
Crema de carabassa,Alta,Sense-fruits-secs,Fruita,Verdures,Suau,Mediterrani,8.51,Fred,Anual,Entrant,AdultsNens,Regional
Sopa d’arròs i verdures,Baixa,Sense-fruits-secs,Llegum,Verdures,Mitjana,Italià,6.23,Fred,Primavera,Entrant,AdultsNens,Clàssic
Canelons de ricotta sense fruits secs,Baixa,Sense-fruits-secs,Carn,Verdures,Mitjana,Àsia,8.29,Fred,Anual,Entrant,AdultsNens,Sibarita
Amanida de cigrons,Baixa,Sense-fruits-secs,Peix,Verdures,Alta,França,9.56,Fred,Primavera,Entrant,AdultsNens,Regional
Arròs amb pollastre i verdures,Baixa,Sense-fruits-secs,Fruita,Cereal,Suau,Nordic,10.27,Calent,Tardor,Principal,AdultsNens,Clàssic
Macarrons amb tomàquet i albahaca,Mitjana,Sense-fruits-secs,Fruita,Cereal,Alta,Italià,11.37,Calent,Anual,Principal,AdultsNens,Modern
Lasanya de carn suau,Alta,Sense-fruits-secs,Fruita,Cereal,Alta,Nordic,12.92,Calent,Primavera,Principal,AdultsNens,Modern
Fideus amb verdures,Alta,Sense-fruits-secs,Verdures,Cereal,Suau,OrientMitjà,12.85,Calent,Primavera,Principal,AdultsNens,Modern
Couscous de pollastre,Mitjana,Sense-fruits-secs,Carn,Cereal,Alta,França,11.34,Calent,Estiu,Principal,AdultsNens,Sibarita
Pollastre al forn amb patates,Alta,Sense-fruits-secs,Carn,Carn,Suau,Àsia,13.27,Calent,Hivern,Segon,AdultsNens,Clàssic
Filet de peix amb arròs,Baixa,Sense-fruits-secs,Carn,Carn,Suau,Àsia,16.31,Calent,Anual,Segon,AdultsNens,Clàssic
Mandonguilles amb tomàquet,Mitjana,Sense-fruits-secs,Cereal,Carn,Suau,Italià,17.38,Calent,Tardor,Segon,AdultsNens,Regional
Truita d’espinacs,Baixa,Sense-fruits-secs,Peix,Carn,Mitjana,Àsia,15.73,Calent,Estiu,Segon,AdultsNens,Modern
Carn arrebossada amb llimona,Alta,Sense-fruits-secs,Verdures,Carn,Suau,Mediterrani,15.15,Calent,Estiu,Segon,AdultsNens,Regional
Flam de vainilla,Alta,Sense-fruits-secs,Cereal,Fruita,Mitjana,Nordic,6.63,Fred,Hivern,Postres,AdultsNens,Modern
Iogurt amb fruita,Mitjana,Sense-fruits-secs,Verdures,Fruita,Mitjana,Italià,7.77,Fred,Primavera,Postres,AdultsNens,Clàssic
Fruita de temporada,Baixa,Sense-fruits-secs,Carn,Fruita,Mitjana,França,8.0,Fred,Tardor,Postres,AdultsNens,Sibarita
Macedònia natural,Baixa,Sense-fruits-secs,Peix,Fruita,Alta,Italià,5.84,Fred,Tardor,Postres,AdultsNens,Sibarita
Gelat de maduixa,Mitjana,Sense-fruits-secs,Verdures,Fruita,Alta,Nordic,07.07,Fred,Estiu,Postres,AdultsNens,Sibarita
Amanida de Cuscús amb Pollastre Halal,Baixa,Halal,Fruita,Pollastre,Alta,Mediterrani,11.74,Fred,Hivern,Entrant,AdultsNens,Modern
Broquetes de Pollastre Halal amb Salsa de Iogurt,Baixa,Halal,Carn,Tonyina,Alta,Àrab,9.98,Fred,Hivern,Entrant,AdultsNens,Modern
Hummus amb Pa de Pita Halal,Baixa,Halal,Carn,Cigrons,Mitjana,Mediterrani,9.19,Fred,Estiu,Entrant,AdultsNens,Modern
Crema freda de Pastanaga i Cigrons Halal,Baixa,Halal,Cereal,Cuscús,Suau,OrientMitjà,11.46,Fred,Tardor,Entrant,AdultsNens,Clàssic
Timbal de Verdures amb Espècies Halal,Baixa,Halal,Peix,Pollastre,Mitjana,Àrab,10.22,Fred,Estiu,Entrant,AdultsNens,Regional
Arròs amb Verdures i Pollastre Halal,Alta,Halal,Fruita,Verdures,Suau,OrientMitjà,11.0,Calent,Anual,Principal,AdultsNens,Clàssic
Sopa de Llenties Halal,Alta,Halal,Verdures,Arròs,Alta,OrientMitjà,12.61,Calent,Primavera,Principal,AdultsNens,Sibarita
Tallarins amb Verdura i Pollastre Halal,Baixa,Halal,Fruita,Arròs,Alta,Mediterrani,12.38,Calent,Primavera,Principal,AdultsNens,Modern
Crema de Carabassa amb Espècies Halal,Baixa,Halal,Llegum,Pasta,Suau,OrientMitjà,12.16,Calent,Estiu,Principal,AdultsNens,Modern
Cigrons estofats amb Espinacs Halal,Mitjana,Halal,Cereal,Pasta,Suau,OrientMitjà,14.47,Calent,Anual,Principal,AdultsNens,Sibarita
Pollastre al Curri Suau Halal,Alta,Halal,Cereal,Xai,Suau,Marroc,21.34,Calent,Primavera,Segon,AdultsNens,Regional
Xai al Forn amb Herbes Halal,Baixa,Halal,Llegum,Vedella,Mitjana,Mediterrani,16.57,Calent,Primavera,Segon,AdultsNens,Modern
Filet de Vedella Halal amb Couscous,Alta,Halal,Fruita,Peix blanc,Suau,OrientMitjà,16.34,Calent,Anual,Segon,AdultsNens,Clàssic
Peix Blanc a la Planxa Halal,Mitjana,Halal,Peix,Xai,Alta,OrientMitjà,18.04,Calent,Estiu,Segon,AdultsNens,Sibarita
Broquetes de Xai amb Espècies Halal,Baixa,Halal,Fruita,Peix blanc,Alta,OrientMitjà,16.26,Calent,Estiu,Segon,AdultsNens,Regional
Mousse de Dàtils amb Mel Halal,Alta,Halal,Fruita,Mel,Mitjana,OrientMitjà,7.4,Fred,Hivern,Postres,AdultsNens,Clàssic
Pastís de Iogurt amb Mel i Nous Halal,Baixa,Halal,Cereal,Fruits secs,Suau,OrientMitjà,7.86,Fred,Primavera,Postres,AdultsNens,Sibarita
Gelatina de Mango Halal,Alta,Halal,Cereal,Mel,Mitjana,Marroc,6.92,Fred,Anual,Postres,AdultsNens,Regional
Fruites Fresques amb Xarop de Dàtils Halal,Baixa,Halal,Fruita,Iogurt,Suau,OrientMitjà,6.57,Fred,Estiu,Postres,AdultsNens,Clàssic
Cremós de Llet amb Mel Halal,Alta,Halal,Peix,Fruita,Alta,Mediterrani,6.61,Fred,Estiu,Postres,AdultsNens,Modern
Crema de carbassó suau sense lactosa,Mitjana,Sense-lactosa,Verdures,Verdures,Mitjana,Mediterrani,8.39,Fred,Estiu,Entrant,AdultsNens,Modern
Amanida de quinoa amb tomàquet,Mitjana,Sense-lactosa,Fruita,Verdures,Suau,França,6.32,Fred,Primavera,Entrant,AdultsNens,Modern
Gazpatxo de préssec sense lactosa,Alta,Sense-lactosa,Llegum,Verdures,Mitjana,Italià,09.06,Fred,Estiu,Entrant,AdultsNens,Sibarita
Sopa freda de cogombre,Alta,Sense-lactosa,Peix,Verdures,Suau,OrientMitjà,08.06,Fred,Tardor,Entrant,AdultsNens,Regional
Timbal de verdures sense lactosa,Baixa,Sense-lactosa,Fruita,Verdures,Suau,Àsia,8.44,Fred,Anual,Entrant,AdultsNens,Modern
Arròs integral amb verdures,Alta,Sense-lactosa,Carn,Cereal,Alta,Àsia,12.35,Calent,Anual,Principal,AdultsNens,Sibarita
Fideus d’arròs amb tofu,Mitjana,Sense-lactosa,Verdures,Cereal,Mitjana,França,11.1,Calent,Anual,Principal,AdultsNens,Modern
Macarrons de blat sarraí,Alta,Sense-lactosa,Fruita,Cereal,Alta,Àsia,12.59,Calent,Estiu,Principal,AdultsNens,Modern
Crema de pèsols sense lactosa,Baixa,Sense-lactosa,Llegum,Cereal,Alta,Àsia,10.11,Calent,Anual,Principal,AdultsNens,Regional
Lasanya vegetal sense lactosa,Alta,Sense-lactosa,Fruita,Cereal,Mitjana,Italià,10.4,Calent,Tardor,Principal,AdultsNens,Clàssic
Pollastre a la planxa amb herbes,Mitjana,Sense-lactosa,Verdures,Carn,Alta,Àsia,14.98,Calent,Tardor,Segon,AdultsNens,Sibarita
Peix blanc al forn amb llimona,Baixa,Sense-lactosa,Carn,Carn,Mitjana,Mediterrani,19.71,Calent,Anual,Segon,AdultsNens,Sibarita
Xai estofat amb verdures,Baixa,Sense-lactosa,Carn,Carn,Alta,Mediterrani,17.32,Calent,Hivern,Segon,AdultsNens,Clàssic
Filet de lluç amb arròs basmati,Mitjana,Sense-lactosa,Verdures,Carn,Mitjana,França,17.16,Calent,Hivern,Segon,AdultsNens,Sibarita
Tofu marinat amb sèsam,Baixa,Sense-lactosa,Cereal,Carn,Mitjana,Nordic,16.04,Calent,Hivern,Segon,AdultsNens,Regional
Fruita fresca amb mel,Alta,Sense-lactosa,Carn,Fruita,Suau,Àsia,5.38,Fred,Anual,Postres,AdultsNens,Clàssic
Mousse de xocolata sense lactosa,Mitjana,Sense-lactosa,Verdures,Fruita,Suau,Mediterrani,8.9,Fred,Hivern,Postres,AdultsNens,Modern
Gelat de mango sense lactosa,Alta,Sense-lactosa,Cereal,Fruita,Suau,Mediterrani,6.91,Fred,Hivern,Postres,AdultsNens,Sibarita
Poma al forn amb canyella,Mitjana,Sense-lactosa,Carn,Fruita,Mitjana,OrientMitjà,8.79,Fred,Primavera,Postres,AdultsNens,Sibarita
Copa de iogurt vegetal amb maduixes,Mitjana,Sense-lactosa,Llegum,Fruita,Mitjana,Mediterrani,6.59,Fred,Primavera,Postres,AdultsNens,Clàssic
Hummus amb bastonets de pastanaga,Mitjana,Vegà,Fruita,Verdures,Alta,Àsia,7.6,Fred,Anual,Entrant,AdultsNens,Modern
Amanida de llenties amb ceba i menta,Baixa,Vegà,Cereal,Verdures,Mitjana,Italià,7.32,Fred,Hivern,Entrant,AdultsNens,Modern
Crema freda de pastanaga,Baixa,Vegà,Cereal,Verdures,Mitjana,Àsia,5.38,Fred,Hivern,Entrant,AdultsNens,Sibarita
Sopa miso amb tofu,Alta,Vegà,Fruita,Verdures,Mitjana,OrientMitjà,6.41,Fred,Estiu,Entrant,AdultsNens,Regional
Canelons de verdures vegans,Mitjana,Vegà,Peix,Verdures,Suau,Mediterrani,5.83,Fred,Anual,Entrant,AdultsNens,Clàssic
Arròs amb cigrons i espinacs,Alta,Vegà,Peix,Cereal,Alta,Mediterrani,10.74,Calent,Estiu,Principal,AdultsNens,Sibarita
Fideus soba amb verdures,Mitjana,Vegà,Cereal,Cereal,Suau,Nordic,11.43,Calent,Tardor,Principal,AdultsNens,Regional
Risotto vegetal amb carabassa,Alta,Vegà,Fruita,Cereal,Mitjana,França,9.74,Calent,Tardor,Principal,AdultsNens,Clàssic
Curry de tofu amb arròs,Mitjana,Vegà,Llegum,Cereal,Suau,Mediterrani,10.45,Calent,Primavera,Principal,AdultsNens,Clàssic
Couscous amb hortalisses,Alta,Vegà,Verdures,Cereal,Mitjana,OrientMitjà,11.13,Calent,Estiu,Principal,AdultsNens,Regional
Hamburguesa vegana de llenties,Baixa,Vegà,Verdures,Carn,Suau,Mediterrani,11.42,Calent,Primavera,Segon,AdultsNens,Regional
Estofat de seità amb xampinyons,Alta,Vegà,Peix,Carn,Mitjana,Mediterrani,10.88,Calent,Anual,Segon,AdultsNens,Sibarita
Tofu arrebossat amb salsa suau,Mitjana,Vegà,Verdures,Carn,Suau,OrientMitjà,14.22,Calent,Estiu,Segon,AdultsNens,Clàssic
Fajita vegetal amb alvocat,Alta,Vegà,Carn,Carn,Alta,OrientMitjà,13.03,Calent,Tardor,Segon,AdultsNens,Sibarita
Cigrons al curri,Alta,Vegà,Cereal,Carn,Mitjana,Mediterrani,11.02,Calent,Estiu,Segon,AdultsNens,Clàssic
Pudding de coco i xia,Mitjana,Vegà,Peix,Fruita,Alta,Àsia,4.36,Fred,Hivern,Postres,AdultsNens,Regional
Macedònia de fruites amb melassa,Alta,Vegà,Cereal,Fruita,Suau,França,7.84,Fred,Estiu,Postres,AdultsNens,Modern
Pastís vegà de xocolata,Baixa,Vegà,Cereal,Fruita,Suau,Italià,5.25,Fred,Hivern,Postres,AdultsNens,Clàssic
Mousse de mango,Alta,Vegà,Fruita,Fruita,Suau,Àsia,7.23,Fred,Hivern,Postres,AdultsNens,Regional
Flam vegetal de vainilla,Alta,Vegà,Peix,Fruita,Mitjana,Mediterrani,7.8,Fred,Primavera,Postres,AdultsNens,Regional
Amanida caprese amb tofu,Alta,Vegetarià,Carn,Verdures,Suau,Nordic,7.9,Fred,Primavera,Entrant,AdultsNens,Sibarita
Crema de pèsols amb menta,Alta,Vegetarià,Llegum,Verdures,Mitjana,Àsia,7.71,Fred,Hivern,Entrant,AdultsNens,Sibarita
Sopa de verdures suau,Mitjana,Vegetarià,Llegum,Verdures,Mitjana,OrientMitjà,8.44,Fred,Estiu,Entrant,AdultsNens,Sibarita
Canelons d’espinacs,Mitjana,Vegetarià,Carn,Verdures,Suau,Mediterrani,6.97,Fred,Estiu,Entrant,AdultsNens,Modern
Gaspatxo tradicional,Alta,Vegetarià,Llegum,Verdures,Alta,Àsia,8.48,Fred,Estiu,Entrant,AdultsNens,Regional
Arròs amb formatge i espinacs,Baixa,Vegetarià,Cereal,Cereal,Suau,França,10.8,Calent,Tardor,Principal,AdultsNens,Clàssic
Fideus integrals amb verdures,Alta,Vegetarià,Fruita,Cereal,Alta,Mediterrani,9.17,Calent,Hivern,Principal,AdultsNens,Sibarita
Lasanya d’albergínia,Mitjana,Vegetarià,Carn,Cereal,Alta,Mediterrani,10.0,Calent,Primavera,Principal,AdultsNens,Sibarita
Risotto de bolets,Baixa,Vegetarià,Fruita,Cereal,Suau,OrientMitjà,11.01,Calent,Primavera,Principal,AdultsNens,Regional
Cigrons amb verdures,Alta,Vegetarià,Verdures,Cereal,Suau,Mediterrani,11.61,Calent,Primavera,Principal,AdultsNens,Regional
Truita de patates i ceba,Mitjana,Vegetarià,Peix,Carn,Suau,Mediterrani,12.3,Calent,Hivern,Segon,AdultsNens,Clàssic
Hamburguesa vegetal amb formatge,Alta,Vegetarià,Fruita,Carn,Alta,Italià,14.84,Calent,Primavera,Segon,AdultsNens,Modern
Pizza vegetal,Mitjana,Vegetarià,Cereal,Carn,Suau,Mediterrani,13.54,Calent,Anual,Segon,AdultsNens,Sibarita
Ous farcits amb verdures,Baixa,Vegetarià,Llegum,Carn,Mitjana,Italià,15.78,Calent,Hivern,Segon,AdultsNens,Modern
Mandonguilles de verdures,Alta,Vegetarià,Verdures,Carn,Suau,Nordic,10.57,Calent,Tardor,Segon,AdultsNens,Sibarita
Pastís de formatge,Alta,Vegetarià,Llegum,Fruita,Alta,Mediterrani,4.32,Fred,Estiu,Postres,AdultsNens,Sibarita
Gelat de vainilla,Baixa,Vegetarià,Llegum,Fruita,Mitjana,Nordic,6.19,Fred,Primavera,Postres,AdultsNens,Modern
Iogurt amb mel,Mitjana,Vegetarià,Peix,Fruita,Alta,Àsia,7.85,Fred,Estiu,Postres,AdultsNens,Clàssic
Fruita tallada amb mel,Mitjana,Vegetarià,Llegum,Fruita,Alta,Nordic,5.67,Fred,Tardor,Postres,AdultsNens,Clàssic
Crema catalana suau,Baixa,Vegetarià,Verdures,Fruita,Alta,França,4.36,Fred,Tardor,Postres,AdultsNens,Regional
Crema de carabassa,Alta,Sense-fruits-secs,Fruita,Verdures,Suau,Mediterrani,8.51,Fred,Anual,Entrant,AdultsNens,Regional
Sopa d’arròs i verdures,Baixa,Sense-fruits-secs,Llegum,Verdures,Mitjana,Italià,6.23,Fred,Primavera,Entrant,AdultsNens,Clàssic
Canelons de ricotta sense fruits secs,Baixa,Sense-fruits-secs,Carn,Verdures,Mitjana,Àsia,8.29,Fred,Anual,Entrant,AdultsNens,Sibarita
Amanida de cigrons,Baixa,Sense-fruits-secs,Peix,Verdures,Alta,França,9.56,Fred,Primavera,Entrant,AdultsNens,Regional
Arròs amb pollastre i verdures,Baixa,Sense-fruits-secs,Fruita,Cereal,Suau,Nordic,10.27,Calent,Tardor,Principal,AdultsNens,Clàssic
Macarrons amb tomàquet i albahaca,Mitjana,Sense-fruits-secs,Fruita,Cereal,Alta,Italià,11.37,Calent,Anual,Principal,AdultsNens,Modern
Lasanya de carn suau,Alta,Sense-fruits-secs,Fruita,Cereal,Alta,Nordic,12.92,Calent,Primavera,Principal,AdultsNens,Modern
Fideus amb verdures,Alta,Sense-fruits-secs,Verdures,Cereal,Suau,OrientMitjà,12.85,Calent,Primavera,Principal,AdultsNens,Modern
Couscous de pollastre,Mitjana,Sense-fruits-secs,Carn,Cereal,Alta,França,11.34,Calent,Estiu,Principal,AdultsNens,Sibarita
Pollastre al forn amb patates,Alta,Sense-fruits-secs,Carn,Carn,Suau,Àsia,13.27,Calent,Hivern,Segon,AdultsNens,Clàssic
Filet de peix amb arròs,Baixa,Sense-fruits-secs,Carn,Carn,Suau,Àsia,16.31,Calent,Anual,Segon,AdultsNens,Clàssic
Mandonguilles amb tomàquet,Mitjana,Sense-fruits-secs,Cereal,Carn,Suau,Italià,17.38,Calent,Tardor,Segon,AdultsNens,Regional
Truita d’espinacs,Baixa,Sense-fruits-secs,Peix,Carn,Mitjana,Àsia,15.73,Calent,Estiu,Segon,AdultsNens,Modern
Carn arrebossada amb llimona,Alta,Sense-fruits-secs,Verdures,Carn,Suau,Mediterrani,15.15,Calent,Estiu,Segon,AdultsNens,Regional
Flam de vainilla,Alta,Sense-fruits-secs,Cereal,Fruita,Mitjana,Nordic,6.63,Fred,Hivern,Postres,AdultsNens,Modern
Iogurt amb fruita,Mitjana,Sense-fruits-secs,Verdures,Fruita,Mitjana,Italià,7.77,Fred,Primavera,Postres,AdultsNens,Clàssic
Fruita de temporada,Baixa,Sense-fruits-secs,Carn,Fruita,Mitjana,França,8.0,Fred,Tardor,Postres,AdultsNens,Sibarita
Macedònia natural,Baixa,Sense-fruits-secs,Peix,Fruita,Alta,Italià,5.84,Fred,Tardor,Postres,AdultsNens,Sibarita
Gelat de maduixa,Mitjana,Sense-fruits-secs,Verdures,Fruita,Alta,Nordic,07.07,Fred,Estiu,Postres,AdultsNens,Sibarita
LlomDePorcAmbPomesSenseGluten,Mitjana,Sense-gluten,Carn,Porc,Mitjà,Mediterrani,16.75,Calent,Anual,Segon,AdultsNens,Clàssic
PollastreAmbLlimonaSenseGluten,Baixa,Sense-gluten,Carn,Pollastre,Suau,Mediterrani,15.25,Calent,Primavera,Segon,AdultsNens,Clàssic
LluçAmbVerduresSenseGluten,Mitjana,Sense-gluten,Peix,Lluç,Suau,Mediterrani,17.50,Calent,Anual,Segon,AdultsNens,Modern
TofuGrilleAmbSalsaTamariSenseGluten,Baixa,Sense-gluten,Vegetal,Tofu,Suau,Japonesa,14.00,Calent,Anual,Segon,AdultsNens,Modern
FiletDeVedellaAmbSalsaDeViSenseGluten,Alta,Sense-gluten,Carn,Vedella,Intens,Catalana,21.50,Calent,Hivern,Segon,AdultsNens,Sibarita
BacallaAmbCremaDePorrosSenseGluten,Mitjana,Sense-gluten,Peix,Bacallà,Mitjà,Mediterrani,18.50,Calent,Tardor,Segon,AdultsNens,Clàssic
MagretDAnecAmbFruitsDelBoscSenseGluten,Alta,Sense-gluten,Carn,Ànec,Intens,França,22.75,Calent,Hivern,Segon,AdultsNens,Sibarita
HamburguesaDeCigronsISpinaquesSenseGluten,Baixa,Sense-gluten,Vegetal,Cigrons,Suau,Àsia,12.50,Calent,Primavera,Segon,AdultsNens,Modern
OradaAlFornAmbHerbesSenseGluten,Mitjana,Sense-gluten,Peix,Orada,Mitjà,Mediterrani,19.00,Calent,Anual,Segon,AdultsNens,Regional
MandonguillesDePollastreAmbTomàquetSenseGluten,Baixa,Sense-gluten,Carn,Pollastre,Mitjà,Espanya,13.25,Calent,Anual,Segon,Nens,Clàssic
CheesecakeDeNabiusSenseGluten,Mitjana,Sense-gluten,Dolços,Nabius,Suau,Americana,8.25,Fred,Anual,Postres,AdultsNens,Modern
BrownieSenseGluten,Mitjana,Sense-gluten,Dolços,Xocolata,Intens,Americana,8.25,Fred,Anual,Postres,AdultsNens,Modern
MousseDeLlimonaSenseGluten,Baixa,Sense-gluten,Dolços,Llimona,Suau,Mediterrani,6.75,Fred,Estiu,Postres,AdultsNens,Clàssic
SorbetDeMangoSenseGluten,Baixa,Sense-gluten,Dolços,Mango,Suau,OrientMitjà,5.50,Fred,Estiu,Postres,AdultsNens,Modern
FlamDeVainillaSenseGluten,Baixa,Sense-gluten,Dolços,Vainilla,Suau,Espanyaa,5.75,Fred,Anual,Postres,AdultsNens,Clàssic
GelatDeCocoSenseGluten,Baixa,Sense-gluten,Dolços,Coco,Suau,OrientMitjà,5.25,Fred,Estiu,Postres,AdultsNens,Modern
CoulantDeXocolataSenseGluten,Alta,Sense-gluten,Dolços,Xocolata,Intens,França,8.75,Calent,Hivern,Postres,AdultsNens,Sibarita
CremaCatalanaSenseGluten,Mitjana,Sense-gluten,Dolços,Llet,Mitjà,Mediterrani,6.25,Fred,Primavera,Postres,AdultsNens,Regional
PannaCottaAmbFruitsVermellsSenseGluten,Mitjana,Sense-gluten,Dolços,Nata,Suau,Itàlia,7.50,Fred,Anual,Postres,AdultsNens,Clàssic
MacedoniaDeFruitesFresquesSenseGluten,Baixa,Sense-gluten,Dolços,Fruita,Suau,Mediterrani,4.75,Fred,Primavera,Postres,AdultsNens,Regional
Gaspatxo de síndria i menta,Baixa,"Vegà, Sense-gluten",Verdura,Síndria,Suau,Mediterrani,7.50,Fred,Estiu,Entrant,AdultsNens,Modern
Amanida caprese amb tomàquet i mozzarella,Mitjana,"Vegetarià, Sense-fruits-secs",Verdura,Tomàquet,Suau,Itàlia,9.00,Fred,Estiu,Entrant,AdultsNens,Classic
Caneló d’albergínia amb verdures,Baixa,"Vegà, Sense-lactosa, Sense-gluten",Verdura,Albergínia,Mitjana,Mediterrani,10.50,Calent,Tardor,Entrant,AdultsNens,Modern
Amanida de cigrons amb verdures i coriandre,Baixa,"Vegà, Sense-gluten",Llegum,Cigrons,Suau,Mediterrani,8.25,Fred,Primavera,Entrant,AdultsNens,Regional
Tàrtar de salmó amb alvocat i llima,Mitjana,"Omnívor, Sense-gluten",Peix,Salmó,Mitjana,Internacional,14.25,Fred,Primavera,Entrant,AdultsNens,Sibarita
Crema de coliflor amb tòfona,Baixa,"Vegetarià, Sense-gluten",Verdura,Coliflor,Suau,França,9.50,Calent,Hivern,Entrant,AdultsNens,Sibarita
Bruschetta de bolets i formatge de cabra,Baixa,"Vegetarià, Sense-fruits-secs",Pasta,Bolets,Mitjana,Itàlia,9.00,Calent,Tardor,Entrant,AdultsNens,Classic
Croquetes de pernil ibèric,Mitjana,Omnívor,Carn,Pernil,Mitjana,Espanya,8.75,Calent,Anual,Entrant,AdultsNens,Regional
Mini broquetes de pollastre marinat amb herbes,Mitjana,"Halal, Sense-lactosa",Carn,Pollastre,Mitjana,Mediterrani,10.25,Calent,Anual,Entrant,AdultsNens,Regional
Hummus de remolatxa amb palets de pastanaga,Baixa,"Vegà, Sense-gluten",Verdura,Remolatxa,Suau,OrientMitjà,7.25,Fred,Primavera,Entrant,AdultsNens,Modern
Amanida de quinoa amb alvocat i mango,Baixa,"Vegà, Sense-gluten",Verdura,Quinoa,Suau,Mediterrani,9.00,Fred,Estiu,Entrant,AdultsNens,Modern
Crema suau de pèsols i menta,Baixa,"Vegà, Sense-lactosa, Sense-gluten",Verdura,Pèsols,Suau,Mediterrani,8.50,Calent,Hivern,Entrant,AdultsNens,Classic
Carpaccio de tomàquet amb formatge fresc i alfàbrega,Mitjana,"Vegetarià, Sense-fruits-secs",Verdura,Tomàquet,Suau,Itàlia,9.25,Fred,Estiu,Entrant,AdultsNens,Classic
Hummus de llenties vermelles amb crudités,Baixa,"Vegà, Sense-gluten",Llegum,Llenties,Suau,OrientMitjà,7.50,Fred,Anual,Entrant,AdultsNens,Regional
Croquetes de bacallà amb all i julivert,Mitjana,"Omnívor, Sense-fruits-secs",Peix,Bacallà,Mitjana,Mediterrani,10.25,Calent,Tardor,Entrant,AdultsNens,Regional
Amanida de pollastre halal amb couscous i llimona,Mitjana,Halal,Carn,Pollastre,Mitjana,Mediterrani,12.50,Fred,Estiu,Entrant,AdultsNens,Regional